country,year,gdp
DEU,2013,44993.66784
DEU,2014,47011.2804
DEU,2015,47609.55716
DEU,2016,50579.48372
DEU,2017,53121.98718
DEU,2018,56688.96969
DEU,2019,57557.86675
ITA,1980,9786.690856
ITA,1981,10788.55949
ITA,1982,11495.7233
ITA,1983,12081.25623
ITA,1984,12918.01985
ITA,1985,13695.46319
ITA,1986,14370.06297
ITA,1987,15193.85937
ITA,1988,16381.6507
ITA,1989,17587.50155
ITA,1990,18592.63182
ITA,1991,19497.74641
ITA,1992,20100.80685
ITA,1993,20389.1124
ITA,1994,21268.09571
ITA,1995,22340.54747
ITA,1996,23002.26587
ITA,1997,23867.50813
ITA,1998,25020.08757
ITA,1999,25602.38648
ITA,2000,27084.20209
ITA,2001,28043.04706
ITA,2002,28716.19717
ITA,2003,29116.35032
ITA,2004,29448.8026
ITA,2005,30016.1557
ITA,2006,32252.42449
ITA,2007,33897.27845
ITA,2008,35274.31272
ITA,2009,34347.69748
ITA,2010,34860.57804
ITA,2011,36183.31603
ITA,2012,36002.9087
ITA,2013,36067.70734
ITA,2014,36194.91667
ITA,2015,36899.3964
ITA,2016,39926.96617
ITA,2017,41713.90834
ITA,2018,44444.72835
ITA,2019,45691.0223
JPN,1980,8798.015994
JPN,1981,9964.208841
JPN,1982,10854.22891
JPN,1983,11597.81284
JPN,1984,12476.93244
JPN,1985,13461.87184
JPN,1986,14118.54705
JPN,1987,15080.27262
JPN,1988,16602.78592
JPN,1989,18024.31314
JPN,1990,19549.49146
JPN,1991,20818.77757
JPN,1992,21393.46709
JPN,1993,21722.2167
JPN,1994,22374.51321
JPN,1995,23410.19989
JPN,1996,24524.08679
JPN,1997,25155.37997
JPN,1998,25084.17868
JPN,1999,25334.51015
JPN,2000,26841.23075
JPN,2001,27476.22073
JPN,2002,28170.05438
JPN,2003,28943.71835
JPN,2004,30354.45668
JPN,2005,31667.91436
JPN,2006,33094.33783
JPN,2007,34507.17022
JPN,2008,34803.65781
JPN,2009,33201.9871
JPN,2010,34994.37223
JPN,2011,35775.25633
JPN,2012,37213.8374
JPN,2013,39008.36056
JPN,2014,39183.46568
JPN,2015,40398.4029
JPN,2016,39983.64366
JPN,2017,41119.38073
JPN,2018,42840.18796
JPN,2019,43642.65958
KOR,1980,2401.517486
KOR,1981,2775.627159
KOR,1982,3143.886982
KOR,1983,3649.828067
KOR,1984,4129.196761
KOR,1985,4548.669077
KOR,1986,5114.750657
KOR,1987,5850.17417
KOR,1988,6716.574957
KOR,1989,7399.974332
KOR,1990,8352.635031
KOR,1991,9471.455593
KOR,1992,10181.49026
KOR,1993,11026.86985
KOR,1994,12182.98149
KOR,1995,13497.97535
KOR,1996,14688.99143
KOR,1997,15716.20406
KOR,1998,14969.3935
KOR,1999,16807.01302
KOR,2000,18539.42075
KOR,2001,19713.59554
KOR,2002,21396.71919
KOR,2003,22084.77857
KOR,2004,23763.30783
KOR,2005,25186.6381
KOR,2006,26875.23251
KOR,2007,29050.15963
KOR,2008,29945.89922
KOR,2009,29529.7856
KOR,2010,31748.35357
KOR,2011,32546.51773
KOR,2012,33557.03045
KOR,2013,34244.23949
KOR,2014,35324.2603
KOR,2015,37902.36102
KOR,2016,39575.30208
KOR,2017,41110.57358
KOR,2018,43678.19055
KOR,2019,44011.31492
USA,1980,12547.12681
USA,1981,13943.17589
USA,1982,14399.35319
USA,1983,15508.00784
USA,1984,17080.01472
USA,1985,18192.3264
USA,1986,19027.64632
USA,1987,19993.22608
USA,1988,21367.89616
USA,1989,22804.67446
USA,1990,23835.31923
USA,1991,24289.54759
USA,1992,25378.62464
USA,1993,26350.49293
USA,1994,27660.26836
USA,1995,28657.51272
USA,1996,29932.15777
USA,1997,31424.43893
USA,1998,32817.982
USA,1999,34477.97213
USA,2000,36304.60202
USA,2001,37099.9106
USA,2002,37979.60793
USA,2003,39426.08714
USA,2004,41647.84391
USA,2005,44043.73414
USA,2006,46230.8462
USA,2007,47902.06035
USA,2008,48311.2237
USA,2009,47028.1604
USA,2010,48396.74085
USA,2011,49814.37133
USA,2012,51548.02172
USA,2013,53056.67648
USA,2014,55008.0124
USA,2015,56831.65482
USA,2016,58000.88803
USA,2017,60091.56878
USA,2018,63043.04647
USA,2019,65240.37903
OECD,1980,8679.45441
OECD,1981,9631.160161
OECD,1982,10152.17979
OECD,1983,10776.54925
OECD,1984,11607.35877
OECD,1985,12326.55377
OECD,1986,12850.9067
OECD,1987,13555.38897
OECD,1988,14558.59668
OECD,1989,15569.20482
OECD,1990,16498.24911
OECD,1991,17152.87924
OECD,1992,17786.33877
OECD,1993,18316.95331
OECD,1994,19130.25818
OECD,1995,19882.47446
OECD,1996,20759.76886
OECD,1997,21732.72149
OECD,1998,22329.40336
OECD,1999,23211.17051
OECD,2000,24643.12221
OECD,2001,25417.79981
OECD,2002,26217.77292
OECD,2003,26990.15314
OECD,2004,28430.01126
OECD,2005,29790.71187
OECD,2006,31770.97483
OECD,2007,33307.099
OECD,2008,34161.41984
OECD,2009,33250.58762
OECD,2010,34538.20004
OECD,2011,35897.77216
OECD,2012,36858.72013
OECD,2013,38199.33802
OECD,2014,39342.70866
OECD,2015,40495.36703
OECD,2016,41907.0271
OECD,2017,43611.25185
OECD,2018,46070.24731
OECD,2019,47359.21476
