country,year,gdp,
CZE,2015,33909.30924,
CZE,2016,36101.2856,
CZE,2017,38966.92957,
CZE,2018,42446.18578,
CZE,2019,44298.57135,
DNK,1980,9860.692028,
DNK,1981,10726.0153,
DNK,1982,11817.54583,
DNK,1983,12609.07518,
DNK,1984,13616.22576,
DNK,1985,14603.51743,
DNK,1986,15606.85614,
DNK,1987,16011.50789,
DNK,1988,16564.35662,
DNK,1989,17318.04487,
DNK,1990,18202.98875,
DNK,1991,19029.00105,
DNK,1992,19778.30333,
DNK,1993,20178.82914,
DNK,1994,21637.84026,
DNK,1995,22655.94462,
DNK,1996,23687.82746,
DNK,1997,24919.6757,
DNK,1998,25818.94677,
DNK,1999,26657.82737,
DNK,2000,28679.27072,
DNK,2001,29459.84574,
DNK,2002,30639.95369,
DNK,2003,30791.90346,
DNK,2004,32920.67692,
DNK,2005,34152.88166,
DNK,2006,37286.31986,
DNK,2007,38969.11972,
DNK,2008,41282.99547,
DNK,2009,40361.79068,
DNK,2010,43041.19236,
DNK,2011,44407.94207,
DNK,2012,44808.54921,
DNK,2013,46742.93966,
DNK,2014,47905.47708,
DNK,2015,49058.14234,
DNK,2016,51967.02044,
DNK,2017,55533.2547,
DNK,2018,59272.49026,
DNK,2019,62106.49406,
FIN,1980,9191.354685,
FIN,1981,10149.9141,
FIN,1982,11050.03068,
FIN,1983,11770.23537,
FIN,1984,12522.65296,
FIN,1985,13321.47793,
FIN,1986,13918.81369,
FIN,1987,14731.19736,
FIN,1988,15999.77628,
FIN,1989,17409.86081,
FIN,1990,18102.41088,
FIN,1991,17517.08372,
FIN,1992,17228.75302,
FIN,1993,17435.81651,
FIN,1994,18434.19909,
FIN,1995,19539.49681,
FIN,1996,20038.36576,
FIN,1997,21787.05073,
FIN,1998,23575.98548,
FIN,1999,24767.16397,
FIN,2000,26796.41042,
FIN,2001,27807.75313,
FIN,2002,28605.12292,
FIN,2003,29021.63568,
FIN,2004,31175.72771,
FIN,2005,32051.76289,
FIN,2006,34408.81758,
FIN,2007,37792.55669,
FIN,2008,40083.70194,
FIN,2009,38000.01877,
FIN,2010,38985.87199,
FIN,2011,40916.64733,
FIN,2012,40872.8548,
FIN,2013,41492.91842,
FIN,2014,41749.86473,
FIN,2015,42490.21105,
FIN,2016,44934.48825,
FIN,2017,47722.17194,
FIN,2018,51296.00153,
FIN,2019,53160.33327,
FRA,1980,9662.157878,
FRA,1981,10629.15501,
FRA,1982,11499.15621,
FRA,1983,12032.71235,
FRA,1984,12594.02836,
FRA,1985,13137.43499,
FRA,1986,13645.41429,
FRA,1987,14263.38472,
FRA,1988,15378.02326,
FRA,1989,16576.07541,
FRA,1990,17602.77512,
FRA,1991,18297.09381,
FRA,1992,18919.33564,
FRA,1993,19162.45698,
FRA,1994,19958.91094,
FRA,1995,20731.55977,
FRA,1996,21310.20195,
FRA,1997,22239.64007,
FRA,1998,23362.48815,
FRA,1999,24311.40386,
FRA,2000,26106.0529,
FRA,2001,27506.15675,
FRA,2002,28528.15611,
FRA,2003,28148.11565,
FRA,2004,29040.96529,
FRA,2005,30504.05878,
FRA,2006,32431.43563,
FRA,2007,34086.9568,
FRA,2008,35102.87043,
FRA,2009,34711.65571,
FRA,2010,35939.45584,
FRA,2011,37447.94954,
FRA,2012,37684.19807,
FRA,2013,39528.47364,
FRA,2014,40144.05949,
FRA,2015,40829.89331,
FRA,2016,42855.94456,
FRA,2017,44622.75826,
FRA,2018,47922.18851,P
FRA,2019,50693.4994,P
DEU,1980,10388.29373,E
DEU,1981,11414.66997,E
DEU,1982,12084.83009,E
DEU,1983,12790.40949,E
DEU,1984,13674.25444,E
DEU,1985,14468.17266,E
DEU,1986,15092.8722,E
DEU,1987,15677.24971,E
DEU,1988,16746.40442,E
DEU,1989,17951.87888,E
DEU,1990,19432.87768,E
DEU,1991,20955.50004,
DEU,1992,21702.21937,
DEU,1993,21878.17178,
DEU,1994,22823.15707,
DEU,1995,23614.67995,
DEU,1996,24151.66534,
DEU,1997,24722.26844,
DEU,1998,25531.12268,
DEU,1999,26510.2287,
DEU,2000,27462.90882,
DEU,2001,28670.79061,
DEU,2002,29504.28924,
DEU,2003,30238.26926,
DEU,2004,31715.39252,
DEU,2005,32236.74099,
DEU,2006,34620.41359,
DEU,2007,36813.71345,
DEU,2008,38432.44821,
DEU,2009,37492.64945,
DEU,2010,39707.32995,
DEU,2011,42541.51313,
DEU,2012,43359.54105,
DEU,2013,44993.66784,
DEU,2014,47011.2804,
DEU,2015,47609.55716,
DEU,2016,50579.48372,
DEU,2017,53121.98718,
DEU,2018,56688.96969,
DEU,2019,57557.86675,
GRC,1980,8617.333021,E
GRC,1981,9204.0627,E
GRC,1982,9601.773052,E
GRC,1983,9813.07935,E
GRC,1984,10320.21834,E
GRC,1985,10871.97704,E
GRC,1986,11111.50589,E
GRC,1987,11091.18856,E
GRC,1988,11931.84866,E
GRC,1989,12803.21539,E
GRC,1990,13189.5763,E
GRC,1991,13940.31282,E
GRC,1992,14253.47542,E
GRC,1993,14278.98541,E
GRC,1994,14808.39154,E
GRC,1995,15395.28708,
GRC,1996,16110.16333,
GRC,1997,17149.86169,
GRC,1998,18032.97737,
GRC,1999,18464.72645,
GRC,2000,19524.70304,
GRC,2001,20963.82207,
GRC,2002,22615.95744,
GRC,2003,23871.92182,
GRC,2004,25439.31884,
GRC,2005,25577.44544,
GRC,2006,28510.87795,
GRC,2007,29284.61282,
GRC,2008,30855.93577,
GRC,2009,30381.48202,
GRC,2010,27934.31713,B
GRC,2011,25671.29122,
GRC,2012,24912.13066,
GRC,2013,25947.87063,
GRC,2014,26642.23196,
GRC,2015,26720.90877,
GRC,2016,27471.21821,
GRC,2017,28736.44645,
GRC,2018,30617.58478,P
GRC,2019,31789.78886,P
HUN,1991,8327.183804,E
HUN,1992,8273.5709,E
HUN,1993,8445.342071,E
HUN,1994,8908.45228,E
HUN,1995,9169.985152,
HUN,1996,9329.287509,
HUN,1997,9821.418274,
HUN,1998,10397.68137,
HUN,1999,10873.24787,
HUN,2000,11858.33441,
HUN,2001,13213.6356,
HUN,2002,14526.38825,
HUN,2003,15465.36535,
HUN,2004,16230.26062,
HUN,2005,17073.55144,
HUN,2006,18337.20522,
HUN,2007,19041.0879,
HUN,2008,20696.72857,
HUN,2009,20689.0467,
HUN,2010,21716.65084,
HUN,2011,22999.83061,
HUN,2012,23206.25512,
HUN,2013,24498.65869,
HUN,2014,25642.55676,
HUN,2015,26777.47046,
HUN,2016,27911.66473,
HUN,2017,29559.21447,
HUN,2018,32834.03935,
HUN,2019,34962.13613,P
ISL,1980,12410.91555,E
ISL,1981,14002.52611,E
ISL,1982,14980.65286,E
ISL,1983,15036.91984,E
ISL,1984,16056.27333,E
ISL,1985,16974.45395,E
ISL,1986,18265.47921,E
ISL,1987,20089.24413,E
ISL,1988,20453.00022,E
ISL,1989,21068.53875,E
ISL,1990,21935.57351,E
ISL,1991,22348.02943,E
ISL,1992,21820.70218,E
ISL,1993,22401.16118,E
ISL,1994,23507.09675,E
ISL,1995,23902.71877,
ISL,1996,24716.28379,
ISL,1997,26886.30295,
ISL,1998,28745.86085,
ISL,1999,29576.84157,
ISL,2000,29792.56355,
ISL,2001,31875.05109,
ISL,2002,32598.37602,
ISL,2003,32690.49603,
ISL,2004,35522.71446,
ISL,2005,37427.93497,
ISL,2006,39579.73726,
ISL,2007,41435.17855,
ISL,2008,43456.21676,
ISL,2009,41802.99936,
ISL,2010,39810.80342,
ISL,2011,40938.66455,
ISL,2012,42006.54335,
ISL,2013,44404.73159,
ISL,2014,45995.00169,
ISL,2015,49203.29499,
ISL,2016,53486.61577,
ISL,2017,55825.94659,
ISL,2018,59974.51348,
ISL,2019,61343.56793,
IRL,1980,6590.203282,E
IRL,1981,7362.729366,E
IRL,1982,7911.111663,E
IRL,1983,8142.393796,E
IRL,1984,8743.619021,E
IRL,1985,9266.946366,E
IRL,1986,9410.422868,E
IRL,1987,10089.91266,E
IRL,1988,11028.18206,E
IRL,1989,12199.38345,E
IRL,1990,13743.23705,E
IRL,1991,14400.01763,E
IRL,1992,15096.42208,E
IRL,1993,15785.84833,E
IRL,1994,16993.886,E
IRL,1995,18940.99886,
IRL,1996,20493.86611,
IRL,1997,22679.58192,
IRL,1998,25059.96428,
IRL,1999,27006.15693,
IRL,2000,30199.65311,
IRL,2001,32580.73367,
IRL,2002,35212.04056,
IRL,2003,36230.74366,
IRL,2004,38711.71049,
IRL,2005,40447.50723,
IRL,2006,44211.6599,
IRL,2007,46717.76994,
IRL,2008,44184.551,
IRL,2009,41532.21297,
IRL,2010,43320.05059,
IRL,2011,44902.99688,
IRL,2012,46274.52425,
IRL,2013,47924.38829,
IRL,2014,51212.50006,
IRL,2015,69133.71061,
IRL,2016,71793.28575,
IRL,2017,78990.82586,
IRL,2018,87710.31886,
IRL,2019,92232.23353,
ITA,1980,9786.690856,E
ITA,1981,10788.55949,E
ITA,1982,11495.7233,E
ITA,1983,12081.25623,E
ITA,1984,12918.01985,E
ITA,1985,13695.46319,E
ITA,1986,14370.06297,E
ITA,1987,15193.85937,E
ITA,1988,16381.6507,E
ITA,1989,17587.50155,E
ITA,1990,18592.63182,E
ITA,1991,19497.74641,E
ITA,1992,20100.80685,E
ITA,1993,20389.1124,E
ITA,1994,21268.09571,E
ITA,1995,22340.54747,
ITA,1996,23002.26587,
ITA,1997,23867.50813,
ITA,1998,25020.08757,
ITA,1999,25602.38648,
ITA,2000,27084.20209,
ITA,2001,28043.04706,
ITA,2002,28716.19717,
ITA,2003,29116.35032,
ITA,2004,29448.8026,
ITA,2005,30016.1557,
ITA,2006,32252.42449,
ITA,2007,33897.27845,
ITA,2008,35274.31272,
ITA,2009,34347.69748,
ITA,2010,34860.57804,
ITA,2011,36183.31603,
ITA,2012,36002.9087,
ITA,2013,36067.70734,
ITA,2014,36194.91667,
ITA,2015,36899.3964,
ITA,2016,39926.96617,
ITA,2017,41713.90834,
ITA,2018,44444.72835,
ITA,2019,45691.0223,
JPN,1980,8798.015994,
JPN,1981,9964.208841,
JPN,1982,10854.22891,
JPN,1983,11597.81284,
JPN,1984,12476.93244,
JPN,1985,13461.87184,
JPN,1986,14118.54705,
JPN,1987,15080.27262,
JPN,1988,16602.78592,
JPN,1989,18024.31314,
JPN,1990,19549.49146,
JPN,1991,20818.77757,
JPN,1992,21393.46709,
JPN,1993,21722.2167,
JPN,1994,22374.51321,
JPN,1995,23410.19989,
JPN,1996,24524.08679,
JPN,1997,25155.37997,
JPN,1998,25084.17868,
JPN,1999,25334.51015,
JPN,2000,26841.23075,
JPN,2001,27476.22073,
JPN,2002,28170.05438,
JPN,2003,28943.71835,
JPN,2004,30354.45668,
JPN,2005,31667.91436,
JPN,2006,33094.33783,
JPN,2007,34507.17022,
JPN,2008,34803.65781,
JPN,2009,33201.9871,
JPN,2010,34994.37223,
JPN,2011,35775.25633,
JPN,2012,37213.8374,
JPN,2013,39008.36056,
JPN,2014,39183.46568,
JPN,2015,40398.4029,
JPN,2016,39983.64366,
JPN,2017,41119.38073,
JPN,2018,42840.18796,
JPN,2019,43642.65958,E
KOR,1980,2401.517486,
KOR,1981,2775.627159,
KOR,1982,3143.886982,
KOR,1983,3649.828067,
KOR,1984,4129.196761,
KOR,1985,4548.669077,
KOR,1986,5114.750657,
KOR,1987,5850.17417,
KOR,1988,6716.574957,
KOR,1989,7399.974332,
KOR,1990,8352.635031,
KOR,1991,9471.455593,
KOR,1992,10181.49026,
KOR,1993,11026.86985,
KOR,1994,12182.98149,
KOR,1995,13497.97535,
KOR,1996,14688.99143,
KOR,1997,15716.20406,
KOR,1998,14969.3935,
KOR,1999,16807.01302,
KOR,2000,18539.42075,
KOR,2001,19713.59554,
KOR,2002,21396.71919,
KOR,2003,22084.77857,
KOR,2004,23763.30783,
KOR,2005,25186.6381,
KOR,2006,26875.23251,
KOR,2007,29050.15963,
KOR,2008,29945.89922,
KOR,2009,29529.7856,
KOR,2010,31748.35357,
KOR,2011,32546.51773,
KOR,2012,33557.03045,
KOR,2013,34244.23949,
KOR,2014,35324.2603,
KOR,2015,37902.36102,
KOR,2016,39575.30208,
KOR,2017,41110.57358,
KOR,2018,43678.19055,
KOR,2019,44011.31492,P
LUX,1980,12718.35534,E
LUX,1981,13807.1968,E
LUX,1982,14817.97605,E
LUX,1983,15854.29483,E
LUX,1984,17428.25955,E
LUX,1985,18451.10342,E
LUX,1986,20606.37871,E
LUX,1987,21808.04288,E
LUX,1988,24278.50947,E
LUX,1989,27430.94226,E
LUX,1990,29634.2424,E
LUX,1991,32837.54799,E
LUX,1992,33735.14599,E
LUX,1993,35478.77283,E
LUX,1994,37080.57196,E
LUX,1995,39515.46176,
LUX,1996,41271.25208,
LUX,1997,42794.86574,
LUX,1998,44343.75372,
LUX,1999,50526.65319,
LUX,2000,55279.77369,
LUX,2001,55853.00292,
LUX,2002,58709.01536,
LUX,2003,59960.02539,
LUX,2004,63998.59217,
LUX,2005,68140.65238,
LUX,2006,77880.52811,
LUX,2007,83837.45118,
LUX,2008,86591.98546,
LUX,2009,82249.99851,
LUX,2010,85587.01465,
LUX,2011,91814.03661,
LUX,2012,91526.72071,
LUX,2013,95246.11389,
LUX,2014,100933.6045,
LUX,2015,103760.128,
LUX,2016,110260.9344,
LUX,2017,112545.9703,
LUX,2018,120156.754,
LUX,2019,124268.9646,
MEX,1980,4938.448871,E
MEX,1981,5745.161026,E
MEX,1982,5919.322952,E
MEX,1983,5755.283401,E
MEX,1984,6043.261958,E
MEX,1985,6271.721329,E
MEX,1986,6031.917721,E
MEX,1987,6169.588533,E
MEX,1988,6338.113222,E
MEX,1989,6729.240196,E
MEX,1990,7193.840273,E
MEX,1991,7614.179747,E
MEX,1992,7935.803462,E
MEX,1993,8277.718218,
MEX,1994,8733.591328,
MEX,1995,8228.851555,
MEX,1996,8817.65893,
MEX,1997,9452.916608,
MEX,1998,9922.291083,
MEX,1999,10216.05314,
MEX,2000,10870.40959,
MEX,2001,10931.09462,
MEX,2002,10999.98034,
MEX,2003,11302.73755,
MEX,2004,11921.8371,
MEX,2005,12539.95753,
MEX,2006,13720.68829,
MEX,2007,14233.02948,
MEX,2008,14885.90244,
MEX,2009,14532.38651,
MEX,2010,15257.67366,
MEX,2011,16546.64141,
MEX,2012,17220.06914,
MEX,2013,17461.79827,
MEX,2014,18178.39742,
MEX,2015,18454.80148,
MEX,2016,19516.14502,
MEX,2017,20012.58331,
MEX,2018,20611.5631,E
MEX,2019,21244.35886,E
NLD,1980,10766.46205,E
NLD,1981,11611.60212,E
NLD,1982,12120.72078,E
NLD,1983,12806.07485,E
NLD,1984,13622.16297,E
NLD,1985,14350.87325,E
NLD,1986,14966.28696,E
NLD,1987,15529.10347,E
NLD,1988,16521.95998,E
NLD,1989,17824.76295,E
NLD,1990,19135.36622,E
NLD,1991,20102.24644,E
NLD,1992,20754.11443,E
NLD,1993,21361.07281,E
NLD,1994,22330.33723,E
NLD,1995,23389.33481,
NLD,1996,24456.03613,
NLD,1997,26007.39852,
NLD,1998,27708.20923,
NLD,1999,29268.68549,
NLD,2000,31883.70496,
NLD,2001,33194.89749,
NLD,2002,34447.05337,
NLD,2003,34115.0657,
NLD,2004,35779.62287,
NLD,2005,37625.25244,
NLD,2006,40959.18563,
NLD,2007,43885.02094,
NLD,2008,46419.04259,
NLD,2009,44590.78156,
NLD,2010,45079.36741,
NLD,2011,46599.22766,
NLD,2012,47271.96823,
NLD,2013,49242.78671,
NLD,2014,49233.23035,
NLD,2015,50288.35282,
NLD,2016,52289.40429,
NLD,2017,55265.49378,
NLD,2018,59727.05196,P
NLD,2019,61242.06323,P
NZL,1980,8439.892265,
NZL,1981,9434.13022,
NZL,1982,10434.83929,
NZL,1983,11202.35403,
NZL,1984,12287.96167,
NZL,1985,12633.11386,
NZL,1986,13239.40595,
NZL,1987,13371.46173,
NZL,1988,13848.25785,
NZL,1989,14430.09629,
NZL,1990,14676.66776,
NZL,1991,14522.89682,B
NZL,1992,14867.76304,
NZL,1993,15881.39277,
NZL,1994,16976.47405,
NZL,1995,17825.31076,
NZL,1996,18388.39421,
NZL,1997,19082.40727,
NZL,1998,19306.48362,
NZL,1999,20537.59563,
NZL,2000,21471.61778,
NZL,2001,22387.14733,
NZL,2002,23180.06498,
NZL,2003,23856.56537,
NZL,2004,24995.64647,
NZL,2005,25590.12745,
NZL,2006,27682.11612,
NZL,2007,29304.02665,
NZL,2008,29784.42811,
NZL,2009,30587.84323,
NZL,2010,31174.15647,
NZL,2011,32680.38999,
NZL,2012,32924.63188,
NZL,2013,36100.25209,
NZL,2014,37133.66501,
NZL,2015,37338.63626,
NZL,2016,39896.6835,
NZL,2017,42338.88406,
NZL,2018,44463.05265,P
NZL,2019,45163.30212,E
NOR,1980,9846.378,
NOR,1981,10912.93183,
NOR,1982,11572.09066,
NOR,1983,12463.71201,
NOR,1984,13655.24123,
NOR,1985,14822.84178,
NOR,1986,15679.74448,
NOR,1987,16271.05688,
NOR,1988,16714.17256,
NOR,1989,17475.03668,
NOR,1990,18418.51508,
NOR,1991,19532.04164,
NOR,1992,20575.35877,
NOR,1993,21531.53707,
NOR,1994,22969.89738,
NOR,1995,24302.78491,
NOR,1996,26761.78533,
NOR,1997,28599.7063,
NOR,1998,28188.20219,
NOR,1999,30554.45254,
NOR,2000,36952.28249,
NOR,2001,37778.5612,
NOR,2002,37981.68638,
NOR,2003,38552.70865,
NOR,2004,42513.85315,
NOR,2005,47800.54063,
NOR,2006,54084.2913,
NOR,2007,55864.46954,
NOR,2008,61719.34366,
NOR,2009,55401.83115,
NOR,2010,57966.86673,
NOR,2011,62077.8458,
NOR,2012,65349.21616,
NOR,2013,66956.28596,
NOR,2014,65895.66761,
NOR,2015,60352.71691,
NOR,2016,58923.24014,
NOR,2017,64254.89262,
NOR,2018,71909.29958,
NOR,2019,70381.79091,
POL,1990,6189.884554,E
POL,1991,5938.090567,E
POL,1992,6215.720629,E
POL,1993,6592.567191,E
POL,1994,7083.980212,E
POL,1995,7730.766465,
POL,1996,8330.054463,
POL,1997,9016.9551,
POL,1998,9581.409564,
POL,1999,10143.29528,
POL,2000,10677.49872,
POL,2001,11123.67478,
POL,2002,11803.76136,
POL,2003,12278.87403,
POL,2004,13343.39079,
POL,2005,13898.41301,
POL,2006,15135.74929,
POL,2007,16784.44764,
POL,2008,18308.03899,
POL,2009,19088.28902,
POL,2010,20828.98653,
POL,2011,22553.51422,
POL,2012,23455.56031,
POL,2013,24272.84256,
POL,2014,25162.87551,
POL,2015,26534.72322,
POL,2016,27985.34001,
POL,2017,29809.47576,
POL,2018,32611.36621,
POL,2019,34781.29129,
PRT,1980,5735.441684,E
PRT,1981,6325.32632,E
PRT,1982,6817.318657,E
PRT,1983,7041.525798,E
PRT,1984,7134.043761,E
PRT,1985,7549.644385,E
PRT,1986,8020.609753,E
PRT,1987,8758.273168,E
PRT,1988,9771.690896,E
PRT,1989,10842.52647,E
PRT,1990,11737.65494,E
PRT,1991,12700.58243,E
PRT,1992,13136.82669,E
PRT,1993,13158.63288,E
PRT,1994,13536.71648,E
PRT,1995,14371.63835,
PRT,1996,14885.04586,
PRT,1997,15783.16665,
PRT,1998,16686.37633,
PRT,1999,17718.19956,
PRT,2000,18884.87391,
PRT,2001,19533.38727,
PRT,2002,20356.72156,
PRT,2003,20829.64228,
PRT,2004,21459.95484,
PRT,2005,22725.35161,
PRT,2006,24649.67677,
PRT,2007,25701.78796,
PRT,2008,26665.77158,
PRT,2009,26478.4918,
PRT,2010,27282.76635,
PRT,2011,26769.42769,
PRT,2012,26438.14047,
PRT,2013,27936.0063,
PRT,2014,28742.31313,
PRT,2015,29660.8459,
PRT,2016,31607.61019,
PRT,2017,33150.21863,
PRT,2018,36034.25418,
PRT,2019,37856.22707,P
SVK,1992,7169.245892,E
SVK,1993,7453.365819,E
SVK,1994,8051.806328,E
SVK,1995,8674.313044,
SVK,1996,9383.845546,
SVK,1997,10082.27813,
SVK,1998,10621.9509,
SVK,1999,10714.98961,
SVK,2000,11356.25377,
SVK,2001,12389.8136,
SVK,2002,13307.8781,
SVK,2003,14150.80645,
SVK,2004,15185.20948,
SVK,2005,16595.2616,
SVK,2006,18826.14207,
SVK,2007,21110.42283,
SVK,2008,23608.97752,
SVK,2009,22963.90885,
SVK,2010,25030.421,
SVK,2011,26084.1055,
SVK,2012,26973.79122,
SVK,2013,28004.52779,
SVK,2014,28997.37568,
SVK,2015,29927.68144,
SVK,2016,29659.33117,
SVK,2017,30194.10146,
SVK,2018,32557.96124,
SVK,2019,33520.99173,
ESP,1980,6945.722607,E
ESP,1981,7546.39467,E
ESP,1982,8069.100099,E
ESP,1983,8493.507242,E
ESP,1984,8920.47753,E
ESP,1985,9381.657803,E
ESP,1986,9851.954833,E
ESP,1987,10629.35282,E
ESP,1988,11539.50135,E
ESP,1989,12546.43679,E
ESP,1990,13487.76757,E
ESP,1991,14273.58899,E
ESP,1992,14700.15514,E
ESP,1993,14860.72559,E
ESP,1994,15511.96791,E
ESP,1995,16250.41288,
ESP,1996,16940.42122,
ESP,1997,17909.83194,
ESP,1998,19100.32823,
ESP,1999,19962.79211,
ESP,2000,21600.82232,
ESP,2001,23006.61147,
ESP,2002,24376.32871,
ESP,2003,25015.21907,
ESP,2004,26160.19483,
ESP,2005,27600.93718,
ESP,2006,30704.57692,
ESP,2007,32423.53222,
ESP,2008,33242.24543,
ESP,2009,32112.81869,
ESP,2010,31716.70974,
ESP,2011,31872.36309,
ESP,2012,31724.63151,
ESP,2013,32452.65968,
ESP,2014,33544.35201,
ESP,2015,34929.20969,
ESP,2016,37313.63491,
ESP,2017,39706.57601,
ESP,2018,42067.24875,P
ESP,2019,43470.59026,P
SWE,1980,11214.00945,E
SWE,1981,12316.10938,E
SWE,1982,13232.36193,E
SWE,1983,14005.26411,E
SWE,1984,15109.74987,E
SWE,1985,15899.54517,E
SWE,1986,16616.47123,E
SWE,1987,17539.70649,E
SWE,1988,18539.20129,E
SWE,1989,19644.74142,E
SWE,1990,20375.57258,E
SWE,1991,20683.07054,E
SWE,1992,20786.30088,E
SWE,1993,20718.06961,
SWE,1994,21836.5445,
SWE,1995,23050.46726,
SWE,1996,23875.25184,
SWE,1997,24797.07553,
SWE,1998,25886.71385,
SWE,1999,27471.4765,
SWE,2000,29631.19215,
SWE,2001,29940.41021,
SWE,2002,30926.361,
SWE,2003,31782.17795,
SWE,2004,33830.67198,
SWE,2005,34244.35929,
SWE,2006,37679.71602,
SWE,2007,40855.46515,
